origem,destino,distancia,tempo,carregamento
Graal Itatiaia,Eletroposto Kinsol - Alicante,245.20730090384123,147.12438054230472,245.20730090384123
Graal Itatiaia,Eletroposto Shell - GTMaxEnergy,281.10854207007293,168.66512524204376,421.6628131051094
Graal Itatiaia,Cabana da Mantiqueira,162.83630372250002,97.70178223350001,162.83630372250002
Graal Itatiaia,Eletrograal - Graal Pinda,104.8050256195601,62.88301537173605,52.40251280978005
Graal Itatiaia,Nosso Pão de Queijo 60 KW,163.38601192190882,98.0316071531453,163.38601192190882
Graal Itatiaia,Graal 56,257.01312063815635,154.2078723828938,128.50656031907818
Graal Itatiaia,Eletrograal Alemão,27.673953654695982,16.60437219281759,13.836976827347991
Graal Itatiaia,Rodovia Washington Luís,341.282831070906,204.7696986425436,341.282831070906
Graal Itatiaia,Rodovia Anhanguera,287.41783704322154,172.4507022259329,287.41783704322154
Graal Itatiaia,Posto Calopysita,243.13778364358575,145.88267018615144,486.2755672871715
Graal Itatiaia,SAU EcoRioMinas Além Paraíba,204.4106793062995,122.6464075837797,2452.9281516755937
Graal Itatiaia,Hotel Evidence,203.38534386270118,122.0312063176207,2033.8534386270117
Graal Itatiaia,Posto Galapagos - RJ,127.89530824480035,76.7371849468802,42.631769414933444
Graal Itatiaia,GTMaxEnergy - Margutti Multimarcas,285.7983785352495,171.47902712114973,428.6975678028743
Graal Itatiaia,Hub de Recarga Go Electric - Riacho Grande,248.41906980043197,149.05144188025918,41.403178300072
Graal Itatiaia,Paradouro Batistella ,186.37614682677764,111.82568809606659,372.7522936535553
Graal Itatiaia,Petrobras - Posto Pesque e Pague,186.35100955447518,111.81060573268512,372.70201910895037
Graal Itatiaia,Posto Amigão - Itaboraí (Casa do Alemão),180.75351255873548,108.4521075352413,154.93158219320185
Graal Itatiaia,Luminares Energia Solar,255.39559115454242,153.23735469272546,383.0933867318136
Graal Itatiaia,Eletrograal 67,256.50106474183985,153.9006388451039,513.0021294836797
Graal Itatiaia,Avenida Interlagos,255.01032556578582,153.00619533947147,695.4827060885068
Graal Itatiaia,Posto Amigão de Itaipava,144.8482374022538,86.90894244135228,347.6357697654091
Graal Itatiaia,Kiosque do Alemão,141.02563352720085,84.61538011632051,291.77717281489834
Graal Itatiaia,Cluster Go Electric - Cajamar,253.74690906371916,152.24814543823152,126.87345453185958
Graal Itatiaia,Shell Recharge - Zarp Limão (Carrefour),246.0846568152692,147.65079408916154,615.211642038173
Graal Itatiaia,Shell Recharge - Posto Arinella Bandeirantes,251.28698816889488,150.77219290133692,251.28698816889488
Graal Itatiaia,Shell Recharge - Posto Shell São Gualter,250.93352900474844,150.56011740284907,301.12023480569815
Graal Itatiaia,Avenida da Liberdade,253.23535155530266,151.9412109331816,690.6418678780982
Graal Itatiaia,AGL Eletrônicos do Brasil,259.20704920938624,155.52422952563174,518.4140984187725
Graal Itatiaia,Eletroposto GoElectric,317.87423195637786,190.7245391738267,158.93711597818893
Graal Itatiaia,Rodovia Presidente Dutra - Pista Lateral,41.090027779709466,24.65401666782568,82.18005555941893
